x;maxQ;maxQm10;maxQp10;maxQp20
1;0.235555;0.388438;0.0741045;0.0145591
1.002;0.266758;0.406977;0.0942507;0.0183183
1.004;0.267573;0.406661;0.0942787;0.0178244
1.006;0.267769;0.406702;0.0942732;0.0177629
1.008;0.267904;0.406531;0.0943216;0.0177356
1.01;0.267937;0.406102;0.0944118;0.0176929
1.012;0.267898;0.405725;0.0944726;0.0176536
1.014;0.267789;0.405335;0.0945061;0.0176284
1.016;0.267616;0.404829;0.0945241;0.0176054
1.018;0.267404;0.404335;0.0945316;0.0175763
1.02;0.267186;0.404014;0.0945249;0.0175468
1.022;0.266976;0.403727;0.0945006;0.0175183
1.024;0.266768;0.403416;0.0944615;0.0174929
1.026;0.266549;0.403058;0.0944151;0.0174699
1.028;0.266313;0.402662;0.0943675;0.0174486
1.03;0.26607;0.40214;0.0943197;0.0174291
1.032;0.26583;0.401689;0.0942668;0.0174117
1.034;0.265595;0.401552;0.0942032;0.0173954
1.036;0.265363;0.401367;0.0941285;0.0173782
1.038;0.265136;0.401066;0.0940485;0.0173595
1.04;0.264921;0.400816;0.0939698;0.0173405
1.042;0.264725;0.400684;0.0938949;0.0173229
1.044;0.264552;0.400435;0.0938222;0.0173081
1.046;0.264397;0.39997;0.0937496;0.0172952
1.048;0.264254;0.39944;0.0936752;0.0172822
1.05;0.264115;0.399252;0.0935986;0.0172684
1.052;0.263998;0.399508;0.0935236;0.0172551
1.054;0.263905;0.399488;0.0934557;0.0172449
1.056;0.263797;0.399082;0.0933964;0.0172392
1.058;0.263669;0.398771;0.0933414;0.0172362
1.06;0.263525;0.398637;0.0932822;0.0172323
1.062;0.263366;0.398488;0.0932105;0.0172244
1.064;0.263213;0.398298;0.0931244;0.017211
1.066;0.263077;0.398083;0.093028;0.017193
1.068;0.262961;0.397874;0.0929281;0.0171722
1.07;0.262863;0.397689;0.0928312;0.0171509
1.072;0.262779;0.397523;0.0927418;0.0171308
1.074;0.262699;0.397368;0.0926608;0.0171125
1.076;0.262621;0.397215;0.0925869;0.0170958
1.078;0.262543;0.397061;0.0925171;0.0170804
1.08;0.262456;0.396908;0.0924484;0.0170657
1.082;0.262365;0.396764;0.0923798;0.0170519
1.084;0.262278;0.39663;0.0923122;0.0170396
1.086;0.262189;0.396503;0.0922472;0.0170292
1.088;0.262096;0.396376;0.0921858;0.0170204
1.09;0.262;0.39625;0.092127;0.0170121
1.092;0.261904;0.396109;0.0920674;0.0170034
1.094;0.261812;0.395957;0.092004;0.0169936
1.096;0.261726;0.395826;0.0919362;0.0169829
1.098;0.261654;0.395653;0.091866;0.0169721
1.1;0.26159;0.395459;0.0917967;0.016962
1.102;0.261519;0.395334;0.0917307;0.0169527
1.104;0.261439;0.395189;0.0916684;0.0169439
1.106;0.261353;0.395078;0.0916087;0.016935
1.108;0.261263;0.395017;0.0915503;0.0169254
1.11;0.261174;0.394887;0.0914922;0.016915
1.112;0.261093;0.394735;0.0914343;0.0169037
1.114;0.261022;0.394602;0.0913773;0.0168917
1.116;0.260957;0.394479;0.0913222;0.0168794
1.118;0.260891;0.394359;0.0912699;0.0168671
1.12;0.260821;0.394241;0.0912213;0.0168553
1.122;0.260744;0.394125;0.0911762;0.0168441
1.124;0.260661;0.394012;0.0911336;0.0168336
1.126;0.260578;0.3939;0.0910918;0.0168239
1.128;0.260498;0.393786;0.0910496;0.0168146
1.13;0.260426;0.393672;0.0910064;0.0168056
1.132;0.260361;0.393559;0.0909624;0.0167967
1.134;0.260303;0.393447;0.0909181;0.0167878
1.136;0.260248;0.393336;0.0908745;0.0167791
1.138;0.260191;0.393224;0.0908325;0.0167705
1.14;0.260127;0.39312;0.0907921;0.0167619
1.142;0.260055;0.393026;0.0907529;0.0167529
1.144;0.259979;0.392939;0.0907152;0.016744
1.146;0.259905;0.392793;0.09068;0.0167354
1.148;0.259839;0.392604;0.0906479;0.0167275
1.15;0.259774;0.392505;0.0906191;0.0167208
1.152;0.259727;0.392489;0.0905937;0.0167163
1.154;0.259699;0.392475;0.0905726;0.0167143
1.156;0.259644;0.392433;0.090555;0.0167138
1.158;0.25956;0.39236;0.0905373;0.0167126
1.16;0.259462;0.392263;0.0905141;0.0167084
1.162;0.259349;0.392157;0.0904814;0.0167
1.164;0.259239;0.392053;0.0904389;0.0166877
1.166;0.259143;0.391955;0.0903904;0.0166728
1.168;0.259066;0.391873;0.0903413;0.0166571
1.17;0.259016;0.391797;0.0902965;0.0166428
1.172;0.258979;0.391701;0.0902604;0.0166317
1.174;0.258953;0.39161;0.0902348;0.0166248
1.176;0.258929;0.391548;0.0902188;0.0166214
1.178;0.25887;0.39147;0.090209;0.0166197
1.18;0.258791;0.391365;0.0901988;0.0166178
1.182;0.258711;0.39128;0.0901839;0.0166146
1.184;0.258629;0.391209;0.0901634;0.0166099
1.186;0.258551;0.391136;0.0901377;0.0166043
1.188;0.25848;0.391064;0.0901094;0.0165989
1.19;0.258415;0.390993;0.0900812;0.0165941
1.192;0.258353;0.390925;0.0900544;0.0165902
1.194;0.258295;0.390859;0.0900289;0.0165871
1.196;0.258237;0.390793;0.090004;0.0165844
1.198;0.258178;0.390726;0.089979;0.0165818
1.2;0.258116;0.390658;0.0899529;0.0165787
1.202;0.258052;0.390589;0.0899246;0.0165744
1.204;0.25799;0.39052;0.0898938;0.0165687
1.206;0.257932;0.39045;0.0898605;0.0165618
1.208;0.257878;0.390382;0.089826;0.0165542
1.21;0.257829;0.390317;0.0897918;0.0165464
1.212;0.257783;0.390251;0.0897592;0.0165389
1.214;0.257738;0.390182;0.0897289;0.0165318
1.216;0.257693;0.390108;0.0897013;0.0165254
1.218;0.257648;0.390033;0.0896768;0.0165198
1.22;0.257599;0.389969;0.0896553;0.0165148
1.222;0.257544;0.389903;0.0896361;0.01651
1.224;0.257485;0.389979;0.0896173;0.0165044
1.226;0.257426;0.389929;0.0895973;0.0164976
1.228;0.257372;0.389687;0.0895762;0.01649
1.23;0.257329;0.38952;0.0895555;0.0164827
1.232;0.257292;0.389359;0.0895372;0.0164771
1.234;0.257264;0.389276;0.0895234;0.0164749
1.236;0.257242;0.38927;0.0895161;0.0164773
1.238;0.257208;0.389262;0.0895146;0.016481
1.24;0.257158;0.389207;0.0895152;0.0164834
1.242;0.257096;0.389112;0.0895094;0.0164832
1.244;0.257027;0.388999;0.0894919;0.0164784
1.246;0.256959;0.388883;0.0894641;0.0164696
1.248;0.256901;0.388774;0.0894286;0.0164587
1.25;0.256872;0.388673;0.0893917;0.0164477
1.252;0.256857;0.388576;0.0893596;0.016438
1.254;0.256841;0.388478;0.0893354;0.0164306
1.256;0.256824;0.388379;0.089318;0.0164266
1.258;0.256808;0.38828;0.0893115;0.0164269
1.26;0.256791;0.38818;0.0893142;0.0164309
1.262;0.256758;0.388077;0.0893192;0.0164349
1.264;0.256711;0.387973;0.0893244;0.0164368
1.266;0.256661;0.387871;0.0893208;0.0164361
1.268;0.256608;0.387774;0.0893042;0.0164317
1.27;0.256557;0.387683;0.0892775;0.0164242
1.272;0.256531;0.387595;0.0892433;0.0164149
1.274;0.25652;0.387507;0.0892068;0.0164054
1.276;0.256513;0.387417;0.0891737;0.0163969
1.278;0.25651;0.387326;0.089148;0.0163906
1.28;0.256504;0.387236;0.08913;0.016387
1.282;0.256489;0.387148;0.0891225;0.0163856
1.284;0.256465;0.387063;0.0891228;0.0163854
1.286;0.256432;0.386979;0.0891241;0.0163851
1.288;0.256398;0.386893;0.0891245;0.0163842
1.29;0.25637;0.386804;0.0891193;0.0163823
1.292;0.256345;0.386712;0.0891074;0.0163794
1.294;0.256323;0.38662;0.0890912;0.0163759
1.296;0.256299;0.38653;0.0890714;0.0163719
1.298;0.256269;0.386441;0.0890493;0.0163677
1.3;0.256234;0.386351;0.0890259;0.0163631
1.302;0.256199;0.386261;0.0890021;0.0163583
1.304;0.256166;0.386171;0.0889788;0.0163535
1.306;0.256138;0.386083;0.0889569;0.0163489
1.308;0.256112;0.385996;0.0889379;0.016345
1.31;0.256087;0.38591;0.0889227;0.016342
1.312;0.256063;0.385826;0.0889113;0.0163401
1.314;0.256038;0.385741;0.0889032;0.0163392
1.316;0.256011;0.385659;0.0888977;0.0163388
1.318;0.255981;0.385562;0.0888931;0.0163387
1.32;0.255951;0.385478;0.0888874;0.0163384
1.322;0.255922;0.385425;0.0888794;0.0163377
1.324;0.255891;0.385354;0.0888684;0.0163361
1.326;0.255854;0.385268;0.0888533;0.0163334
1.328;0.255813;0.38519;0.0888341;0.0163296
1.33;0.255784;0.38512;0.0888124;0.0163254
1.332;0.255768;0.385056;0.088791;0.016322
1.334;0.255754;0.384996;0.088773;0.0163201
1.336;0.255739;0.384947;0.0887597;0.01632
1.338;0.255718;0.384962;0.0887503;0.0163213
1.34;0.255682;0.384833;0.0887429;0.0163224
1.342;0.255643;0.384595;0.088736;0.0163226
1.344;0.255606;0.384567;0.0887279;0.016322
1.346;0.255568;0.384605;0.0887162;0.0163199
1.348;0.255529;0.384587;0.0887004;0.0163166
1.35;0.255498;0.384565;0.0886817;0.0163131
1.352;0.255481;0.384534;0.0886631;0.0163104
1.354;0.255475;0.384489;0.0886474;0.0163091
1.356;0.255462;0.384427;0.0886349;0.0163088
1.358;0.255423;0.384343;0.0886239;0.0163088
1.36;0.255373;0.384264;0.0886115;0.0163079
1.362;0.255325;0.384224;0.0885948;0.0163054
1.364;0.255278;0.384228;0.0885728;0.0163013
1.366;0.255236;0.384247;0.0885468;0.0162961
1.368;0.255208;0.38425;0.0885199;0.0162908
1.37;0.255192;0.384224;0.0884958;0.016286
1.372;0.255181;0.384176;0.0884775;0.0162832
1.374;0.255171;0.384135;0.0884675;0.0162829
1.376;0.255148;0.384098;0.0884653;0.0162839
1.378;0.255112;0.384058;0.0884668;0.0162854
1.38;0.255067;0.383743;0.0884676;0.0162863
1.382;0.255024;0.383774;0.088464;0.0162858
1.384;0.254987;0.384582;0.0884545;0.0162835
1.386;0.25496;0.384755;0.0884415;0.0162804
1.388;0.254945;0.383872;0.0884276;0.0162783
1.39;0.254928;0.383433;0.0884153;0.0162784
1.392;0.254923;0.383693;0.0884096;0.0162813
1.394;0.254912;0.383801;0.08841;0.0162872
1.396;0.254854;0.38379;0.088413;0.016293
1.398;0.254773;0.383795;0.0884162;0.0162956
1.4;0.254702;0.383786;0.0884077;0.0162938
1.402;0.25464;0.383745;0.0883853;0.016288
1.404;0.2546;0.383688;0.0883565;0.0162802
1.406;0.254597;0.38363;0.0883254;0.0162727
1.408;0.254604;0.383589;0.088299;0.0162663
1.41;0.2546;0.383567;0.08828;0.0162626
1.412;0.254589;0.383543;0.0882713;0.0162615
1.414;0.254565;0.383495;0.0882724;0.016262
1.416;0.254532;0.383434;0.0882785;0.0162633
1.418;0.254496;0.383388;0.0882857;0.0162645
1.42;0.254461;0.383371;0.088291;0.0162652
1.422;0.254428;0.383384;0.088293;0.0162652
1.424;0.254399;0.383481;0.0882917;0.0162651
1.426;0.254382;0.383387;0.0882881;0.0162658
1.428;0.254374;0.382902;0.0882845;0.0162682
1.43;0.254351;0.382683;0.0882828;0.0162704
1.432;0.254311;0.382926;0.0882786;0.0162711
1.434;0.254264;0.383164;0.0882686;0.0162703
1.436;0.25422;0.383236;0.0882528;0.0162676
1.438;0.254183;0.383556;0.0882318;0.0162642
1.44;0.25416;0.383387;0.0882092;0.0162611
1.442;0.25415;0.382131;0.0881885;0.0162588
1.444;0.254125;0.381962;0.0881707;0.0162565
1.446;0.254085;0.383167;0.0881539;0.0162532
1.448;0.254043;0.38349;0.0881353;0.0162485
1.45;0.254005;0.38294;0.0881146;0.0162431
1.452;0.253979;0.382651;0.0880946;0.0162381
1.454;0.25396;0.382644;0.0880791;0.0162346
1.456;0.253944;0.382628;0.0880709;0.0162332
1.458;0.253926;0.382571;0.0880688;0.0162334
1.46;0.25389;0.382591;0.0880692;0.0162336
1.462;0.253849;0.382537;0.0880686;0.0162328
1.464;0.253816;0.382376;0.0880646;0.0162312
1.466;0.25379;0.38234;0.088057;0.0162288
1.468;0.253771;0.382374;0.0880475;0.0162262
1.47;0.253757;0.382333;0.0880376;0.0162237
1.472;0.253741;0.382275;0.0880286;0.0162215
1.474;0.253713;0.382236;0.0880208;0.01622
1.476;0.25368;0.382202;0.0880146;0.0162193
1.478;0.253647;0.382163;0.0880105;0.0162191
1.48;0.253614;0.382126;0.0880081;0.0162195
1.482;0.253581;0.382091;0.0880065;0.0162203
1.484;0.253548;0.382055;0.0880051;0.0162214
1.486;0.253516;0.382019;0.088004;0.0162221
1.488;0.253483;0.381983;0.0879997;0.016222
1.49;0.253452;0.38195;0.0879914;0.0162215
1.492;0.253422;0.381921;0.0879806;0.0162205
1.494;0.253393;0.381892;0.0879673;0.0162191
1.496;0.253366;0.381861;0.0879528;0.0162175
1.498;0.253342;0.381826;0.0879381;0.016216
1.5;0.253319;0.381791;0.0879242;0.0162145
1.502;0.253294;0.381754;0.0879117;0.0162134
1.504;0.253266;0.38172;0.0879007;0.0162127
1.504;0.253266;0.38172;0.0879007;0.0162127
1.506;0.253234;0.38169;0.0878911;0.0162123
1.508;0.253201;0.381664;0.0878824;0.0162122
1.51;0.25317;0.381639;0.0878739;0.0162118
1.512;0.253141;0.38161;0.087865;0.0162111
1.514;0.253114;0.381574;0.0878553;0.0162098
1.516;0.253089;0.381534;0.0878447;0.0162081
1.518;0.253064;0.381496;0.0878332;0.0162061
1.52;0.253039;0.381463;0.0878212;0.0162039
1.522;0.253013;0.381434;0.0878086;0.0162015
1.524;0.252987;0.381405;0.0877956;0.0161989
1.526;0.252963;0.381372;0.087782;0.0161961
1.528;0.252941;0.381337;0.0877678;0.0161933
1.53;0.252922;0.381302;0.0877536;0.0161905
1.532;0.252904;0.381269;0.0877399;0.0161881
1.534;0.252883;0.381237;0.0877273;0.016186
1.536;0.252859;0.381205;0.087716;0.0161842
1.538;0.252833;0.38117;0.0877057;0.0161827
1.54;0.252806;0.381135;0.0876955;0.0161813
1.542;0.252778;0.381098;0.0876842;0.0161796
1.544;0.252751;0.381062;0.0876709;0.0161774
1.546;0.252726;0.381028;0.087655;0.0161748
1.548;0.252704;0.380994;0.0876372;0.0161717
1.55;0.252686;0.380961;0.0876189;0.0161687
1.552;0.252672;0.380927;0.087602;0.016166
1.554;0.252659;0.380892;0.0875883;0.0161639
1.556;0.252647;0.380857;0.0875782;0.0161627
1.558;0.252633;0.380822;0.0875722;0.0161624
1.56;0.252617;0.380788;0.0875695;0.0161629
1.562;0.252599;0.380753;0.087568;0.0161633
1.564;0.252579;0.380716;0.0875666;0.0161633
1.566;0.252559;0.380677;0.0875634;0.0161629
1.568;0.25254;0.380636;0.0875574;0.0161618
1.57;0.252523;0.380593;0.0875493;0.0161601
1.572;0.252507;0.380548;0.0875395;0.0161579
1.574;0.252493;0.380502;0.087529;0.0161554
1.576;0.252479;0.380455;0.0875188;0.0161531
1.578;0.252464;0.380406;0.0875096;0.0161508
1.58;0.25245;0.380339;0.0875015;0.0161488
1.582;0.252435;0.380321;0.0874947;0.016147
1.584;0.252421;0.380325;0.0874891;0.0161453
1.586;0.252406;0.380243;0.0874842;0.0161437
1.588;0.252392;0.380155;0.0874798;0.0161422
1.59;0.252378;0.380084;0.0874756;0.016141
1.592;0.252366;0.380073;0.0874719;0.0161399
1.594;0.252347;0.380088;0.0874684;0.0161388
1.596;0.252318;0.380017;0.0874647;0.0161374
1.598;0.252298;0.379929;0.0874601;0.0161357
1.6;0.252297;0.379855;0.0874543;0.0161341
1.602;0.252305;0.379895;0.0874503;0.0161336
1.604;0.252325;0.380016;0.0874505;0.0161351
1.606;0.252342;0.3801;0.0874537;0.0161386
1.608;0.252319;0.380004;0.087458;0.0161407
1.61;0.252267;0.379725;0.0874613;0.0161405
1.612;0.252214;0.379553;0.0874577;0.0161388
1.614;0.252165;0.37948;0.0874466;0.0161352
1.616;0.252133;0.379539;0.0874323;0.0161305
1.618;0.252119;0.37957;0.0874171;0.0161258
1.62;0.25211;0.379795;0.0874032;0.0161213
1.622;0.25209;0.379956;0.0873914;0.0161169
1.624;0.252066;0.378686;0.0873808;0.0161123
1.626;0.252059;0.377824;0.0873709;0.0161077
1.628;0.252068;0.379404;0.0873622;0.0161037
1.63;0.252085;0.380371;0.0873554;0.0161012
1.632;0.252092;0.379483;0.0873522;0.0161004
1.634;0.252069;0.3785;0.087352;0.0161004
1.636;0.252033;0.378576;0.087352;0.0161005
1.638;0.251999;0.3802;0.0873514;0.0161008
1.64;0.251963;0.380696;0.0873498;0.016101
1.642;0.25192;0.379399;0.087348;0.0161012
1.644;0.25187;0.378687;0.0873464;0.0161012
1.646;0.251821;0.378647;0.0873428;0.0161005
1.648;0.251779;0.37874;0.0873365;0.0160986
1.65;0.25175;0.378906;0.0873279;0.0160958
1.652;0.251743;0.379042;0.0873174;0.0160923
1.654;0.251743;0.379087;0.0873061;0.0160887
1.656;0.251741;0.379019;0.0872956;0.0160853
1.658;0.251738;0.378915;0.0872868;0.0160821
1.66;0.251725;0.378905;0.0872797;0.0160803
1.662;0.251703;0.378982;0.0872753;0.0160797
1.664;0.251677;0.378943;0.0872738;0.0160799
1.666;0.251649;0.378875;0.087274;0.0160808
1.668;0.251622;0.378801;0.0872758;0.016082
1.67;0.251595;0.378636;0.0872783;0.0160833
1.672;0.251568;0.378601;0.0872805;0.0160847
1.674;0.251539;0.378703;0.0872818;0.0160863
1.676;0.251508;0.378765;0.0872826;0.0160873
1.678;0.251474;0.378676;0.0872807;0.0160878
1.68;0.251436;0.378447;0.0872756;0.0160881
1.682;0.251395;0.378397;0.0872681;0.0160877
1.684;0.251352;0.378534;0.0872575;0.0160864
1.686;0.25131;0.378652;0.0872438;0.0160841
1.688;0.251271;0.378602;0.0872272;0.0160809
1.69;0.251238;0.378337;0.0872083;0.016077
1.692;0.251212;0.378219;0.0871883;0.0160729
1.694;0.251191;0.378336;0.0871685;0.016069
1.696;0.251173;0.378375;0.0871502;0.0160656
1.698;0.251152;0.378307;0.0871342;0.0160627
1.7;0.251126;0.378264;0.0871207;0.0160604
1.702;0.251095;0.378225;0.08711;0.016059
1.704;0.25106;0.378147;0.0871019;0.0160583
1.706;0.251022;0.378007;0.0870958;0.0160583
1.708;0.250985;0.378051;0.0870919;0.0160587
1.71;0.250949;0.37833;0.0870896;0.0160591
1.712;0.250917;0.37836;0.0870874;0.0160594
1.714;0.25089;0.378129;0.0870849;0.0160594
1.716;0.250868;0.377954;0.0870817;0.0160592
1.718;0.250848;0.377863;0.0870776;0.0160588
1.72;0.250833;0.377807;0.0870727;0.0160582
1.722;0.250822;0.377788;0.0870669;0.0160576
1.724;0.250807;0.377785;0.0870603;0.0160571
1.726;0.250785;0.377767;0.0870535;0.0160569
1.728;0.250755;0.377736;0.0870467;0.0160571
1.73;0.250715;0.377714;0.0870399;0.0160573
1.732;0.25067;0.377682;0.0870328;0.0160572
1.734;0.250629;0.377633;0.0870249;0.0160566
1.736;0.250593;0.377589;0.0870154;0.0160551
1.738;0.250568;0.377543;0.0870046;0.0160529
1.74;0.250557;0.377488;0.0869929;0.0160504
1.742;0.250549;0.37741;0.0869812;0.0160478
1.744;0.250535;0.377252;0.086971;0.0160454
1.746;0.250515;0.377303;0.086963;0.0160437
